Year,Category,N
Jan-18,Core,6.19
Feb-18,Core,5.38
Mar-18,Core,4.44
Apr-18,Core,4.63
May-18,Core,3.64
Jan-18,MerchandiseExports,9.1
Feb-18,MerchandiseExports,4.48
Mar-18,MerchandiseExports,-0.66
Apr-18,MerchandiseExports,5.17
May-18,MerchandiseExports,20.18
Jun-18,MerchandiseExports,17.57
Jan-18,NonOilNonGold,24.43163031
Feb-18,NonOilNonGold,7.285937356
Mar-18,NonOilNonGold,12.19857033
Apr-18,NonOilNonGold,-0.173933253
May-18,NonOilNonGold,13.0943519
Jun-18,NonOilNonGold,12.5214676
Jan-18,PMIMFG,52.4
Feb-18,PMIMFG,52.1
Mar-18,PMIMFG,51
Apr-18,PMIMFG,51.6
May-18,PMIMFG,51.2
Jun-18,PMIMFG,53.1
Jan-18,ServicesPMI,51.7
Feb-18,ServicesPMI,47.8
Mar-18,ServicesPMI,50.3
Apr-18,ServicesPMI,51.4
May-18,ServicesPMI,49.6
Jun-18,ServicesPMI,52.6
Jan-18,BanksNonFoodCredit,9.524957801
Feb-18,BanksNonFoodCredit,9.754413482
Mar-18,BanksNonFoodCredit,8.371750471
Apr-18,BanksNonFoodCredit,10.680838
May-18,BanksNonFoodCredit,11.12912198
Jan-18,CommercialVehicleSales,39.72759155
Feb-18,CommercialVehicleSales,31.13375263
Mar-18,CommercialVehicleSales,24.55133054
Apr-18,CommercialVehicleSales,75.9545849
May-18,CommercialVehicleSales,43.06451915
Jun-18,CommercialVehicleSales,41.71910705
Jan-18,RailFreightTraffic,6.370656371
Feb-18,RailFreightTraffic,4.094710546
Mar-18,RailFreightTraffic,3.912681528
Apr-18,RailFreightTraffic,8.301094285
May-18,RailFreightTraffic,6.221342226
Jun-18,RailFreightTraffic,4.871362294
Jan-18,MajorPort,13.62843236
Feb-18,MajorPort,8.347877243
Mar-18,MajorPort,2.300716617
Apr-18,MajorPort,1.780755657
May-18,MajorPort,3.015493397
Jan-18,RuralWages,3.09
Feb-18,RuralWages,3.37
Mar-18,RuralWages,3.53
Jan-18,TractorSales,38.12220649
Feb-18,TractorSales,38.60315435
Mar-18,TractorSales,52.17400332
Apr-18,TractorSales,20.37256223
May-18,TractorSales,19.62394528
Jun-18,TractorSales,35.49561782
Jan-18,PassengerVehicleSales,-1.722576135
Feb-18,PassengerVehicleSales,2.891456963
Mar-18,PassengerVehicleSales,2.067306989
Apr-18,PassengerVehicleSales,5.986655522
May-18,PassengerVehicleSales,20.46680116
Jun-18,PassengerVehicleSales,34.32570316
Jan-18,DomesticAirPassengers,19.89
Feb-18,DomesticAirPassengers,24.41
Mar-18,DomesticAirPassengers,28.17
Apr-18,DomesticAirPassengers,26.09
May-18,DomesticAirPassengers,16.55
Jan-18,CoreCPI,5
Feb-18,CoreCPI,5.03
Mar-18,CoreCPI,5.23
Apr-18,CoreCPI,5.8
May-18,CoreCPI,6.12
Jun-18,CoreCPI,6.35
