,Values,,,,
Row Labels,Sum of Total_Population,Sum of Total_Workers,Sum of Total_Cultivators,Sum of Total_Labourers,Sum of Total_Forestry
Andaman & Nicobar Islands,63921,1626,546,83,62
Andhra Pradesh,15506027,672334,81705,293699,13191
Arunachal Pradesh,350482,16950,8116,1707,360
Assam,7036066,285517,98179,66292,17467
Bihar,28956159,1089241,200507,511718,8778
Chandigarh,184658,4435,87,22,18
Chhattisgarh,5642771,257683,95331,118493,13163
Dadra & Nagar Haveli,71252,2083,417,480,29
Daman & Diu,35827,813,37,8,44
Goa,216957,10130,2114,385,20
Gujarat,11985281,461734,79710,198314,16510
Haryana,5167435,123530,34175,22069,3455
Himachal Pradesh,1230401,126328,110127,4427,585
Jammu & Kashmir,2825826,114925,47611,12788,8039
Jharkhand,8242821,400413,154582,153457,8399
Karnataka,10978155,421507,87842,140339,22392
Kerala,5377882,44873,6885,3108,1398
Lakshadweep,11405,81,0,0,2
Madhya Pradesh,16830956,700612,202335,326497,18731
Maharashtra,20555189,727730,183235,234505,6769
Manipur,605006,34292,15595,3114,485
Meghalaya,771788,44539,19890,7537,1674
Mizoram,234769,7770,5102,1051,102
Nagaland,481770,63732,41232,9583,1702
NCT of Delhi,3184119,36386,857,412,98
Odisha,8423393,335957,57962,166325,11751
Puducherry,204443,2153,220,281,53
Punjab,4951421,176412,24877,32153,3610
Rajasthan,16423256,849170,433365,186478,74742
Sikkim,123601,10507,5889,1427,510
Tamil Nadu,11728802,285321,33531,57443,4037
Tripura,695425,13782,3184,3670,584
Uttar Pradesh,50931598,2177118,492511,612133,26783
Uttarakhand,2204144,82929,42942,9078,1343
West Bengal,17404332,550172,67714,157681,10309
Grand Total,259637338,10132785,2638412,3336757,277195
